Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
62165,936.716,356.8281,222.3935,62647,281.3378,0.782,0.9923,0.7237,0.8903,1.6045,0.7884,1
85913,1120.778,435.7355,251.4643,86577,330.7383,0.8167,0.9923,0.7386,0.8595,1.7328,0.759,1
68683,1021.57,409.83,214.3968,69337,295.7193,0.8522,0.9906,0.6526,0.827,1.9115,0.7216,1
61215,951.511,369.4055,212.7202,61936,279.1798,0.8176,0.9884,0.6779,0.8497,1.7366,0.7558,1
72713,1039.375,401.8137,231.1989,73336,304.2714,0.8179,0.9915,0.6861,0.8458,1.738,0.7572,1
58684,917.482,355.8436,210.4503,59202,273.3474,0.8064,0.9913,0.7156,0.8761,1.6909,0.7682,1
59652,932.197,359.1674,213.7165,60204,275.5926,0.8037,0.9908,0.675,0.8626,1.6806,0.7673,1
89091,1138.972,443.718,256.1033,89964,336.7999,0.8166,0.9903,0.7407,0.863,1.7326,0.759,1
58701,924.23,361.2761,207.3608,59204,273.387,0.8189,0.9915,0.6746,0.8636,1.7423,0.7567,1
67699,1023.719,405.671,213.4477,68507,293.5933,0.8504,0.9882,0.6923,0.8118,1.9006,0.7237,1
80555,1089.003,418.3991,246.1369,81584,320.259,0.8087,0.9874,0.7381,0.8536,1.6999,0.7654,1
68816,996.081,387.6093,227.5767,69403,296.0055,0.8095,0.9915,0.7542,0.8716,1.7032,0.7637,1
80729,1095.096,430.9316,239.086,81407,320.6047,0.832,0.9917,0.7537,0.8459,1.8024,0.744,1
67796,1004.675,384.1239,226.0686,68610,293.8036,0.8085,0.9881,0.696,0.844,1.6991,0.7649,1
71730,1035.017,402.0958,227.921,72668,302.2077,0.8238,0.9871,0.6765,0.8414,1.7642,0.7516,1
70771,1016.414,387.1938,234.0186,71451,300.1807,0.7967,0.9905,0.7201,0.8608,1.6545,0.7753,1
73611,1019.849,384.023,244.5884,74230,306.1445,0.7709,0.9917,0.7169,0.8894,1.5701,0.7972,1
79842,1133.404,458.0375,222.8276,80792,318.8385,0.8737,0.9882,0.7354,0.781,2.0556,0.6961,1
68822,1036.675,422.2851,208.052,69467,296.0184,0.8702,0.9907,0.7514,0.8047,2.0297,0.701,1
76775,1090.25,440.8537,223.2013,77569,312.6547,0.8624,0.9898,0.7419,0.8117,1.9751,0.7092,1
62105,986.37,390.4307,203.1583,62792,281.202,0.854,0.9891,0.6624,0.8022,1.9218,0.7202,1
55811,937.114,360.5674,199.135,56778,266.5723,0.8337,0.983,0.6303,0.7986,1.8107,0.7393,1
97062,1181.124,441.0742,281.3946,97926,351.544,0.7701,0.9912,0.7266,0.8743,1.5675,0.797,1
70361,1060.623,431.2931,208.6176,71075,299.3099,0.8752,0.99,0.6644,0.786,2.0674,0.694,1
75482,1050.829,388.6198,247.8359,76417,310.0108,0.7703,0.9878,0.7015,0.859,1.5681,0.7977,1
67832,1004.39,380.6642,228.262,68816,293.8816,0.8003,0.9857,0.7191,0.845,1.6677,0.772,1
67135,1031.821,368.1006,238.7819,68784,292.3678,0.7611,0.976,0.6867,0.7924,1.5416,0.7943,1
79074,1065.425,398.656,253.8709,79681,317.3013,0.771,0.9924,0.7359,0.8754,1.5703,0.7959,1
86164,1122.042,428.2713,256.9736,86938,331.2211,0.8,0.9911,0.694,0.86,1.6666,0.7734,1
67549,1004.333,392.5092,219.6762,68147,293.2679,0.8287,0.9912,0.7106,0.8415,1.7868,0.7472,1
87490,1137.818,429.7881,260.8003,88474,333.76,0.7948,0.9889,0.7558,0.8492,1.648,0.7766,1
82468,1134.996,452.2654,232.5943,83212,324.0394,0.8576,0.9911,0.6277,0.8045,1.9444,0.7165,1
90346,1173.761,462.2198,250.0358,91444,339.1638,0.8411,0.988,0.7412,0.8241,1.8486,0.7338,1
73484,1076.322,423.5409,223.2066,74411,305.8803,0.8499,0.9875,0.7426,0.7971,1.8975,0.7222,1
87906,1156.064,446.5276,251.7033,88905,334.5525,0.826,0.9888,0.7095,0.8265,1.774,0.7492,1
83467,1127.225,452.1363,235.4289,84142,325.9961,0.8537,0.992,0.7602,0.8255,1.9205,0.721,1
82324,1108.52,440.7238,238.8192,82952,323.7563,0.8405,0.9924,0.7467,0.8419,1.8454,0.7346,1
88264,1156.395,461.0047,244.569,89044,335.2331,0.8477,0.9912,0.7685,0.8294,1.885,0.7272,1
106862,1253.488,492.4942,277.477,107521,368.8644,0.8262,0.9939,0.7391,0.8547,1.7749,0.749,1
69275,1007.568,386.0202,229.618,70121,296.991,0.8038,0.9879,0.7314,0.8575,1.6811,0.7694,1
64922,987.925,382.434,216.782,65490,287.5087,0.8238,0.9913,0.6994,0.8359,1.7641,0.7518,1
88645,1176.996,464.8264,243.8185,89630,335.9558,0.8514,0.989,0.7373,0.8041,1.9064,0.7228,1
102336,1241.001,490.5406,266.7169,103286,360.9685,0.8393,0.9908,0.7306,0.835,1.8392,0.7359,1
64604,1000.248,403.9814,204.3188,65208,286.8037,0.8627,0.9907,0.6531,0.8114,1.9772,0.7099,1
71311,1036.339,410.6743,222.1935,72149,301.3237,0.841,0.9884,0.7392,0.8344,1.8483,0.7337,1
87179,1136.822,445.2308,250.6702,88092,333.1663,0.8264,0.9896,0.7067,0.8477,1.7762,0.7483,1
86869,1164.885,464.3543,238.922,87821,332.5734,0.8575,0.9892,0.6679,0.8045,1.9435,0.7162,1
77063,1109.138,452.2426,217.8907,77806,313.2406,0.8763,0.9905,0.6162,0.7872,2.0755,0.6926,1
74522,1090.457,439.7033,217.2758,75450,308.033,0.8694,0.9877,0.7199,0.7875,2.0237,0.7005,1
64543,959.774,364.3535,226.7457,65140,286.6683,0.7828,0.9908,0.703,0.8805,1.6069,0.7868,1
95832,1229.239,501.0219,244.0251,96696,349.3095,0.8734,0.9911,0.7319,0.797,2.0532,0.6972,1
68607,1004.027,385.8641,227.7052,69396,295.5557,0.8073,0.9886,0.7031,0.8552,1.6946,0.766,1
79071,1089.765,422.3434,240.724,80002,317.2953,0.8217,0.9884,0.6704,0.8367,1.7545,0.7513,1
70673,1055.627,423.9374,213.3525,71608,299.9728,0.8641,0.9869,0.6568,0.797,1.987,0.7076,1
69517,1059.538,429.8407,206.825,70493,297.5093,0.8766,0.9862,0.6623,0.7782,2.0783,0.6921,1
66702,1029.563,420.897,203.1187,67399,291.4234,0.8758,0.9897,0.7126,0.7908,2.0722,0.6924,1
78870,1081.043,430.0428,234.1966,79424,316.8918,0.8387,0.993,0.7121,0.8481,1.8362,0.7369,1
73550,1076.141,436.6477,215.1518,74475,306.0176,0.8702,0.9876,0.7462,0.7981,2.0295,0.7008,1
70285,1038.973,397.2996,227.0837,71505,299.1482,0.8206,0.9829,0.6928,0.8182,1.7496,0.753,1
68243,1011.246,404.4244,215.334,68741,294.7706,0.8465,0.9928,0.7461,0.8386,1.8781,0.7289,1
64811,964.378,359.8989,230.1407,65426,287.2628,0.7688,0.9906,0.7619,0.8757,1.5638,0.7982,1
102377,1230.441,477.3742,274.2373,103258,361.0408,0.8185,0.9915,0.7364,0.8497,1.7407,0.7563,1
91385,1190.488,485.5496,242.1273,92490,341.1085,0.8668,0.9881,0.7227,0.8103,2.0053,0.7025,1
70222,1025.283,402.12,223.0969,70779,299.0141,0.832,0.9921,0.699,0.8395,1.8024,0.7436,1
85946,1121.265,420.8492,261.7127,87047,330.8018,0.7831,0.9874,0.7354,0.8591,1.6081,0.786,1
93924,1172.49,450.5382,266.2257,94692,345.8146,0.8067,0.9919,0.7296,0.8586,1.6923,0.7676,1
75710,1043.526,395.511,244.5521,76522,310.4786,0.7859,0.9894,0.7412,0.8737,1.6173,0.785,1
73382,1018.708,389.0548,240.6674,73955,305.6679,0.7857,0.9923,0.7564,0.8886,1.6166,0.7857,1
96935,1201.897,449.5173,276.2137,98071,351.3139,0.7889,0.9884,0.7057,0.8432,1.6274,0.7815,1
72138,1048.199,412.0657,223.8684,72927,303.0659,0.8395,0.9892,0.6954,0.8251,1.8407,0.7355,1
82132,1146.16,460.8095,228.7262,83126,323.3786,0.8681,0.988,0.6391,0.7857,2.0147,0.7018,1
76325,1076.066,420.2904,232.4291,77189,311.7371,0.8332,0.9888,0.7328,0.8283,1.8083,0.7417,1
77691,1079.665,412.6364,240.9295,78673,314.5143,0.8118,0.9875,0.6841,0.8375,1.7127,0.7622,1
82306,1059.11,390.5541,268.9078,82826,323.721,0.7252,0.9937,0.7279,0.9221,1.4524,0.8289,1
66789,1017.28,405.313,210.4572,67514,291.6134,0.8546,0.9893,0.737,0.811,1.9259,0.7195,1
80137,1124.144,454.4632,225.1284,80936,319.427,0.8687,0.9901,0.6586,0.7969,2.0187,0.7029,1
70041,1017.782,392.8732,230.235,70789,298.6285,0.8103,0.9894,0.7297,0.8497,1.7064,0.7601,1
85039,1130.265,433.7324,250.862,85907,329.0517,0.8158,0.9899,0.6958,0.8365,1.729,0.7587,1
98441,1249.004,489.5147,257.6878,99561,354.0324,0.8502,0.9888,0.6871,0.793,1.8996,0.7232,1
91282,1171.051,427.7433,273.1993,93122,340.9162,0.7695,0.9802,0.7115,0.8365,1.5657,0.797,1
73346,1076.34,418.7888,224.6259,74449,305.5929,0.844,0.9852,0.6416,0.7956,1.8644,0.7297,1
89332,1199.709,471.9775,241.5176,90457,337.2551,0.8592,0.9876,0.7539,0.7799,1.9542,0.7146,1
75040,1139.505,449.795,215.9398,76482,309.1018,0.8772,0.9811,0.5964,0.7262,2.083,0.6872,1
78532,1123.849,432.7165,232.2045,79455,316.212,0.8438,0.9884,0.6983,0.7813,1.8635,0.7308,1
96211,1169.304,418.7244,293.4921,97138,349.9995,0.7132,0.9905,0.7516,0.8843,1.4267,0.8359,1
79102,1120.31,430.87,234.4646,79999,317.3575,0.839,0.9888,0.6653,0.792,1.8377,0.7366,1
80920,1171.651,397.4495,262.3499,82943,320.9837,0.7512,0.9756,0.7258,0.7407,1.515,0.8076,1
65386,1017.984,389.2751,217.0287,66640,288.5343,0.8302,0.9812,0.7471,0.7929,1.7937,0.7412,1
92816,1229.789,472.8681,252.0375,93938,343.7688,0.8461,0.9881,0.7131,0.7712,1.8762,0.727,1
88903,1208.555,476.114,239.0078,89984,336.4444,0.8649,0.988,0.6839,0.7649,1.992,0.7066,1
74959,1059.482,399.9927,239.647,75668,308.9349,0.8007,0.9906,0.7352,0.8392,1.6691,0.7724,1
60145,938.701,357.5699,214.6178,60824,276.7291,0.7998,0.9888,0.6804,0.8577,1.6661,0.7739,1
94019,1215.135,470.8153,255.6161,95889,345.9895,0.8398,0.9805,0.7501,0.8002,1.8419,0.7349,1
71623,1086.452,431.6635,214.3176,72709,301.9822,0.868,0.9851,0.7259,0.7625,2.0141,0.6996,1
68575,1013.014,376.118,233.5821,69321,295.4867,0.7838,0.9892,0.6983,0.8397,1.6102,0.7856,1
88037,1143.45,428.9861,262.1492,88881,334.8017,0.7916,0.9905,0.7283,0.8461,1.6364,0.7804,1
76709,1086.642,426.9315,229.9314,77379,312.5203,0.8426,0.9913,0.7341,0.8164,1.8568,0.732,1
75307,1079.812,421.5085,228.3167,76138,309.6512,0.8406,0.9891,0.6739,0.8116,1.8462,0.7346,1
81357,1092.364,411.2506,252.762,82145,321.8493,0.7888,0.9904,0.7379,0.8568,1.627,0.7826,1
62211,968.901,369.045,215.6276,63090,281.4418,0.8115,0.9861,0.718,0.8328,1.7115,0.7626,1
68265,1034.969,401.9448,217.6478,69242,294.8181,0.8407,0.9859,0.7319,0.8009,1.8468,0.7335,1
80150,1130.443,447.8462,228.7348,80928,319.4529,0.8597,0.9904,0.6395,0.7882,1.9579,0.7133,1
82031,1108.321,429.8897,243.2943,82716,323.1797,0.8244,0.9917,0.7016,0.8392,1.767,0.7518,1
59259,931.363,357.889,212.0508,59858,274.6833,0.8056,0.99,0.725,0.8585,1.6878,0.7675,1
83446,1194.038,481.648,221.4931,84624,325.9551,0.888,0.9861,0.6899,0.7355,2.1746,0.6767,1
80722,1103.905,426.8265,241.4469,81479,320.5908,0.8246,0.9907,0.6708,0.8324,1.7678,0.7511,1
64073,1033.25,405.1633,207.1816,67150,285.6226,0.8594,0.9542,0.6974,0.7542,1.9556,0.705,1
66968,1022.469,398.6842,214.6545,67989,292.0039,0.8427,0.985,0.6592,0.805,1.8573,0.7324,1
66523,1022.985,405.2955,210.1596,67228,291.0322,0.8551,0.9895,0.7516,0.7988,1.9285,0.7181,1
101124,1255.646,481.9419,271.2444,103164,358.8246,0.8266,0.9802,0.6526,0.806,1.7768,0.7445,1
79149,1115.466,436.0194,232.3894,80168,317.4518,0.8461,0.9873,0.6435,0.7994,1.8762,0.7281,1
71517,1051.752,401.4022,227.7478,72424,301.7586,0.8235,0.9875,0.7208,0.8124,1.7625,0.7518,1
68860,1027.834,382.1779,232.072,69990,296.1001,0.7945,0.9839,0.7225,0.8191,1.6468,0.7748,1
87776,1181.676,475.475,235.7883,88795,334.3051,0.8684,0.9885,0.751,0.7899,2.0165,0.7031,1
92175,1207.754,485.4328,242.9822,93233,342.5797,0.8657,0.9887,0.7177,0.7941,1.9978,0.7057,1
73018,1056.45,399.4726,233.5491,74076,304.9088,0.8113,0.9857,0.6672,0.8221,1.7104,0.7633,1
69718,1066.685,418.073,214.1268,70945,297.9391,0.8589,0.9827,0.7221,0.77,1.9525,0.7126,1
56561,902.59,342.3154,210.7994,57075,268.3574,0.7879,0.991,0.7351,0.8725,1.6239,0.7839,1
80375,1112.359,433.3406,238.4624,81364,319.901,0.835,0.9878,0.6576,0.8163,1.8172,0.7382,1
67258,1033.485,412.7968,208.3175,68108,292.6355,0.8633,0.9875,0.644,0.7913,1.9816,0.7089,1
74104,1067.604,401.8534,237.2761,75071,307.1679,0.8071,0.9871,0.7378,0.817,1.6936,0.7644,1
81694,1118.852,442.772,235.8376,82443,322.5152,0.8463,0.9909,0.6411,0.8201,1.8774,0.7284,1
62584,1017.196,345.0958,233.8076,64781,282.2843,0.7355,0.9661,0.7357,0.7601,1.476,0.818,1
70175,1029.917,390.8671,229.4874,70940,298.914,0.8095,0.9892,0.7329,0.8314,1.7032,0.7647,1
95608,1217.112,475.3285,257.7036,96740,348.901,0.8403,0.9883,0.696,0.811,1.8445,0.734,1
99115,1245.19,473.7952,268.4639,100258,355.2424,0.824,0.9886,0.7203,0.8033,1.7648,0.7498,1
72614,1077.587,412.8169,226.1164,73913,304.0642,0.8366,0.9824,0.6982,0.7858,1.8257,0.7366,1
84534,1150.801,447.58,241.2236,85376,328.0732,0.8423,0.9901,0.7432,0.8021,1.8555,0.733,1
80658,1135.127,441.5689,232.9578,81631,320.4637,0.8495,0.9881,0.7535,0.7866,1.8955,0.7257,1
82306,1116.464,410.7504,256.2447,83372,323.721,0.7815,0.9872,0.7325,0.8298,1.603,0.7881,1
78850,1107.497,402.3104,252.2188,79870,316.8516,0.7791,0.9872,0.7338,0.8078,1.5951,0.7876,1
83219,1103.068,412.3368,257.671,84013,325.5115,0.7807,0.9905,0.7238,0.8595,1.6002,0.7894,1
67629,1043.16,394.4112,219.7025,69144,293.4415,0.8305,0.9781,0.697,0.781,1.7952,0.744,1
99655,1229.159,477.4395,266.7602,100495,356.2088,0.8293,0.9916,0.6881,0.8289,1.7898,0.7461,1
95117,1205.369,477.8186,254.3343,95970,348.0039,0.8466,0.9911,0.7582,0.8227,1.8787,0.7283,1
98565,1258.45,503.9363,249.9124,99461,354.2554,0.8684,0.991,0.7102,0.7821,2.0165,0.703,1
62105,989.876,394.7356,202.8029,62653,281.202,0.8579,0.9913,0.6651,0.7965,1.9464,0.7124,1
71757,1022.204,394.1106,232.7409,72386,302.2645,0.807,0.9913,0.6877,0.863,1.6933,0.767,1
72457,1016.491,380.8485,242.581,73000,303.7353,0.7709,0.9926,0.7295,0.8812,1.57,0.7975,1
87484,1147.175,438.5324,256.1463,88362,333.7485,0.8117,0.9901,0.7197,0.8354,1.712,0.7611,1
91865,1144.14,428.3266,274.0507,92776,342.0031,0.7685,0.9902,0.7189,0.8819,1.5629,0.7985,1
76259,1095.383,431.7982,226.6461,77235,311.6023,0.8512,0.9874,0.7093,0.7987,1.9052,0.7216,1
70334,1024.949,395.4998,227.6117,71376,299.2525,0.8178,0.9854,0.7509,0.8413,1.7376,0.7566,1
69309,1014.274,398.5365,222.2259,69841,297.0639,0.8301,0.9924,0.6751,0.8466,1.7934,0.7454,1
96856,1208.21,457.7499,271.2049,98253,351.1707,0.8056,0.9858,0.7021,0.8338,1.6878,0.7672,1
107244,1239.755,474.7988,288.5734,108061,369.5231,0.7941,0.9924,0.7399,0.8768,1.6453,0.7783,1
78250,1102.289,442.9966,225.7107,78959,315.6438,0.8605,0.991,0.7479,0.8093,1.9627,0.7125,1
78571,1144.291,422.1389,239.1871,80655,316.2905,0.824,0.9742,0.6673,0.754,1.7649,0.7493,1
81547,1119.846,442.0139,236.7743,82559,322.2249,0.8444,0.9877,0.626,0.8171,1.8668,0.729,1
93985,1231.823,485.719,249.0043,95250,345.9269,0.8586,0.9867,0.6118,0.7783,1.9506,0.7122,1
78244,1064.823,401.9451,249.1482,78950,315.6317,0.7847,0.9911,0.7214,0.8672,1.6133,0.7853,1
72684,1061.561,420.4868,221.3766,73535,304.2107,0.8502,0.9884,0.728,0.8105,1.8994,0.7235,1
69852,1024.846,409.4711,218.1039,70369,298.2253,0.8463,0.9927,0.6654,0.8357,1.8774,0.7283,1
89976,1171.012,466.9481,246.7559,91107,338.4686,0.849,0.9876,0.7075,0.8245,1.8923,0.7249,1
70023,1023.404,391.8565,230.0101,70867,298.5901,0.8096,0.9881,0.7276,0.8401,1.7036,0.762,1
74744,1052.625,417.3302,228.8987,75366,308.4915,0.8362,0.9917,0.7228,0.8477,1.8232,0.7392,1
79451,1084.958,424.1414,239.3025,80278,318.0568,0.8256,0.9897,0.7564,0.8482,1.7724,0.7499,1
98111,1204.969,473.5252,264.333,98851,353.4385,0.8297,0.9925,0.6814,0.8491,1.7914,0.7464,1
67582,1022.181,414.3306,209.1852,68201,293.3395,0.8632,0.9909,0.6701,0.8128,1.9807,0.708,1
73537,1056.602,415.1832,227.1057,74374,305.9905,0.8371,0.9887,0.6581,0.8277,1.8281,0.737,1
71109,1023.382,402.991,224.957,71694,300.8966,0.8297,0.9918,0.6686,0.8532,1.7914,0.7467,1
81463,1099.853,439.6717,236.4002,81993,322.0589,0.8432,0.9935,0.7376,0.8463,1.8599,0.7325,1
89806,1172.275,466.5271,245.8642,90579,338.1487,0.8499,0.9915,0.7496,0.8212,1.8975,0.7248,1
64809,1003.578,402.3724,206.258,65578,287.2584,0.8586,0.9883,0.6382,0.8086,1.9508,0.7139,1
73692,1047.379,411.486,229.0894,74317,306.3129,0.8307,0.9916,0.7208,0.8442,1.7962,0.7444,1
90239,1298.35,538.0211,217.9732,92604,338.9629,0.9143,0.9745,0.5071,0.6727,2.4683,0.63,1
76863,1069.733,419.0763,235.3793,77515,312.8338,0.8274,0.9916,0.7434,0.8441,1.7804,0.7465,1
95497,1199.376,472.5344,258.6676,96748,348.6984,0.8369,0.9871,0.7387,0.8342,1.8268,0.7379,1
64916,960.743,373.5265,221.4325,65373,287.4954,0.8053,0.993,0.7403,0.8838,1.6869,0.7697,1
68772,1047.819,423.7982,208.8385,69678,295.9108,0.8702,0.987,0.6664,0.7871,2.0293,0.6982,1
76888,1096.988,441.4888,222.5849,77743,312.8847,0.8636,0.989,0.6414,0.8029,1.9835,0.7087,1
84397,1203.64,483.522,223.6447,85408,327.8073,0.8866,0.9882,0.5891,0.7321,2.162,0.678,1
68693,1018.101,404.3318,217.3166,69334,295.7408,0.8433,0.9908,0.7393,0.8328,1.8606,0.7314,1
68426,966.046,353.3552,247.1532,68894,295.1655,0.7147,0.9932,0.736,0.9214,1.4297,0.8353,1
72508,1032.429,404.1488,229.0448,73094,303.8422,0.8239,0.992,0.6619,0.8548,1.7645,0.7518,1
86168,1115.211,429.1133,256.357,86770,331.2288,0.8019,0.9931,0.7435,0.8706,1.6739,0.7719,1
93734,1149.493,436.6288,273.9282,94548,345.4647,0.7787,0.9914,0.7355,0.8914,1.594,0.7912,1
81702,1132.453,446.1777,234.8366,83070,322.531,0.8503,0.9835,0.6719,0.8006,1.8999,0.7229,1
67828,995.114,389.1961,222.4418,68429,293.8729,0.8206,0.9912,0.6802,0.8607,1.7497,0.7551,1
70565,1046.164,418.0043,216.5399,71390,299.7435,0.8554,0.9884,0.7094,0.8102,1.9304,0.7171,1
97902,1233.711,491.1406,254.7969,99020,353.0619,0.8549,0.9887,0.7756,0.8083,1.9276,0.7189,1
58698,943.084,366.4001,206.2926,59542,273.38,0.8264,0.9858,0.7224,0.8293,1.7761,0.7461,1
74559,1029.466,391.779,243.1817,75040,308.1095,0.784,0.9936,0.7258,0.8841,1.6111,0.7864,1
83655,1125.228,439.893,242.8987,84527,326.3631,0.8337,0.9897,0.6868,0.8303,1.811,0.7419,1
103683,1239.769,476.6714,277.5163,104708,363.3363,0.813,0.9902,0.6783,0.8477,1.7176,0.7622,1
87913,1169.888,445.6384,252.9865,89481,334.5659,0.8232,0.9825,0.7415,0.8072,1.7615,0.7508,1
69069,986.683,371.6018,237.0034,69623,296.5491,0.7702,0.992,0.7436,0.8915,1.5679,0.798,1
73827,1077.447,430.5646,219.4656,74631,306.5933,0.8603,0.9892,0.7265,0.7992,1.9619,0.7121,1
95554,1186.896,450.7725,270.6546,96491,348.8024,0.7997,0.9903,0.7381,0.8524,1.6655,0.7738,1
65593,975.947,376.7856,222.4426,66217,288.9907,0.8071,0.9906,0.7633,0.8654,1.6939,0.767,1
87034,1121.454,418.2299,266.7236,88121,332.8891,0.7702,0.9877,0.7035,0.8696,1.568,0.7959,1
80452,1120.096,451.0502,227.3251,81194,320.0542,0.8637,0.9909,0.7466,0.8058,1.9842,0.7096,1
71614,1036.482,405.569,226.0209,72260,301.9632,0.8303,0.9911,0.6897,0.8377,1.7944,0.7445,1
95740,1186.055,451.5354,271.3979,96724,349.1417,0.7992,0.9898,0.7203,0.8553,1.6637,0.7732,1
66900,1005.945,391.0035,218.6312,67516,291.8557,0.8291,0.9909,0.7111,0.8308,1.7884,0.7464,1
94954,1210.977,474.3818,257.0043,96121,347.7056,0.8405,0.9879,0.7243,0.8137,1.8458,0.733,1
99109,1222.611,489.2759,258.1309,99840,355.2316,0.8495,0.9927,0.6959,0.8332,1.8955,0.726,1
81555,1110.581,437.1296,239.0168,82508,322.2407,0.8373,0.9884,0.6551,0.8309,1.8289,0.7372,1
64088,951.711,357.6842,229.8545,64658,285.656,0.7662,0.9912,0.7408,0.8892,1.5561,0.7986,1
66300,1115.094,374.0703,227.9912,67574,290.5439,0.7928,0.9811,0.7374,0.67,1.6407,0.7767,1
75406,1078.604,433.8408,223.0218,76149,309.8546,0.8578,0.9902,0.6168,0.8145,1.9453,0.7142,1
82602,1101.746,427.4416,247.0308,83456,324.3025,0.8161,0.9898,0.7493,0.8551,1.7303,0.7587,1
94164,1188.448,469.3919,257.6509,95146,346.2562,0.8359,0.9897,0.6757,0.8378,1.8218,0.7377,1
92224,1206.002,475.976,248.6184,93661,342.6708,0.8527,0.9847,0.6559,0.7968,1.9145,0.7199,1
102803,1416.303,614.8959,216.4382,104364,361.7912,0.936,0.985,0.7472,0.644,2.841,0.5884,1
84554,1114.065,423.9317,255.1256,85567,328.112,0.7986,0.9882,0.6913,0.8561,1.6617,0.774,1
107230,1318.003,530.2599,258.4708,108486,369.499,0.8732,0.9884,0.7027,0.7757,2.0515,0.6968,1
58347,976.686,350.299,213.4355,60534,272.5614,0.7929,0.9639,0.6359,0.7686,1.6412,0.7781,1
78173,1052.557,404.3107,247.1026,78792,315.4884,0.7915,0.9921,0.7172,0.8867,1.6362,0.7803,1
80206,1129.585,464.6505,220.3904,80860,319.5645,0.8804,0.9919,0.7025,0.7899,2.1083,0.6878,1
64292,971.22,381.2829,215.3336,64894,286.1103,0.8253,0.9907,0.6737,0.8565,1.7707,0.7504,1
68588,1030.694,414.1802,211.932,69347,295.5147,0.8592,0.9891,0.6175,0.8113,1.9543,0.7135,1
78586,1109.506,452.0596,221.9563,79194,316.3207,0.8712,0.9923,0.7059,0.8022,2.0367,0.6997,1
77223,1061.471,420.2079,234.3131,77753,313.5656,0.8301,0.9932,0.7567,0.8613,1.7934,0.7462,1
91710,1165.646,461.5008,253.5073,92424,341.7145,0.8356,0.9923,0.6633,0.8482,1.8205,0.7404,1
68256,1033.8,413.0075,212.2104,68919,294.7986,0.8579,0.9904,0.707,0.8026,1.9462,0.7138,1
67991,1007.004,393.7953,221.0721,68840,294.2258,0.8276,0.9877,0.7425,0.8426,1.7813,0.7472,1
93769,1188.361,463.5269,259.097,94994,345.5292,0.8292,0.9871,0.7284,0.8344,1.789,0.7454,1
89404,1131.518,432.3557,263.913,90141,337.391,0.7921,0.9918,0.7457,0.8775,1.6383,0.7804,1
85569,1183.556,491.6035,223.1268,86693,330.0755,0.8911,0.987,0.6871,0.7676,2.2032,0.6714,1
97951,1208.41,470.956,266.2872,98639,353.1502,0.8248,0.993,0.7247,0.8429,1.7686,0.7499,1
